Add New Gift Certificate,"Neuen Gutschein hinzufügen"
Add Unique Message (optional):,"Eine Nachricht hinzufügen (Optional):"
Allow custom message,"Erlaube Kunden-Nachricht"
Allow recipient's address,"Erlaube Empfänger Adresse"
Allow recipient's email,"Erlaube Empfänger Email"
Amount is not within the specified range.,"Der Betrag ist nicht innerhalb des gültigen Bereichs."
Are you sure?,"Sind Sie sicher?"
Auto generate PIN,"PIN automatisch generieren"
Auto generate certificate number,"Gutschein-Nr. automatisch generieren"
Balance,"Guthaben"
Card Number,"Karten-Nummer"
Certificate number pattern,"Gutschein-Nr. Muster"
Certificate number(s),"Gutschein Nummer(n)"
Change status,"Status ändern"
Characters Remaining:,"Verbleibende Zeichen:"
Check Balance,"Guthaben überprüfen"
Check Your Gift Card Balance,"Gutschein-Guthaben überprüfen"
Comments,"Kommentare"
Custom message,"Nachricht"
Custom Message,"Nachricht"
Custom message max length,"Max. Länge der Kunden-Nachricht"
Default status,"Standard Status"
Defaults,"Allgemeine Optionen"
Delete,"Löschen"
Delete Gift Certificate,"Gutschein löschen"
Edit Gift Certificate,"Gutschein ändern"
Enter Amount,"Betrag angeben"
Gift Certificate,"Gutschein"
Gift Certificate Email Sender,"Email-Absender des Gutscheins"
Gift Certificate Email Template for Purchaser,"Gutschein Email-Vorlage für den Käufer"
Gift Certificate Email Template for Someone Else,"Gutschein Email-Vorlage für jemand anderen"
Gift Certificate Information,"Gutschein Informationen"
Gift Certificates,"Gutscheine"
Gift certificate customer interface on catalog product view,"Gutschein Optionen in der Produkt-Ansicht"
Gift certificate was successfully deleted,"Gutschein wurde erfolgreich gelöscht"
Gift certificate was successfully saved,"Gutschein wurde erfolgreich gespeichert"
Manage Gift Certificates,"Gutscheine verwalten"
New Gift Certificate,"Neuer Gutschein"
New Gift Certificate to Self,"Neuer Gutschein am mich selbst"
New Gift Certificate to Someone Else,"Neuer Gutschein an jemand andern"
New order status,"Neuer Bestellstatus"
No message,"Keine Nachricht"
PIN pattern,"PIN Muster"
Pattern examples:<br/><strong>[A*8] - 8 alpha chars<br/>[N*4] - 4 numerics<br/>[AN*5] - 5 alphanumeric<br/>CERT-[A*4]-[AN*6] - CERT-HQNB-8A1NO3</strong>,Beispiel Muster:<br/><strong>[A*8] - 8 Zeichen<br/>[N*4] - 4 Numerisch<br/>[AN*5] - 5 Alpha-Numerisch<br/>CERT-[A*4]-[AN*6] - CERT-HQNB-8A1NO3</strong>
Pin,Pin
Please enter a valid card number and PIN.,"Bitte geben Sie eine gültige Karten-Nummer und den PIN an."
Please enter gift certificate information,"Bitte geben Sie Gutschein Information an."
"Please note, that in current release shipping estimates will be calculated by purchaser's shipping address and not recipient's.","Hinweis, im aktuellen Release werden die Lieferkosten auf Basis der Käufer-Adresse kalkuliert und nicht der Empfänger-Adresse."
Please select gift certificates(s),"Bitte Gutschein(e) auswählen"
Recipient's Email Address (optional):,"Empfänger Email-Adresse (Optional):"
Recipient's Name:,"Empfänger Name:"
Recipient's Postal Address (optional):,"Empfänger Post-Adresse (Optional):"
Recipient's email address,"Empfänger Email-Adresse"
Recipient's name,"Empfänger Name"
Recipient's postal address,"Empfänger Post-Adresse"
Save Gift Certificate,"Gutschein speichern"
Status,Status
The card number or PIN entered are invalid. Please retry,"Die eingegeben Gutschein-Nummer oder der PIN ist ungültig. Bitte nochmal versuchen."
There was an error while updating certificate(s) status,"Der Status der Gustscheine konnte wegen einem Fehler nicht aktualisiert werden."
Title,Titel
"To check the balance of a Gift Card, enter the card number and PIN below.","Um das Guthaben eines Gutscheins zu überprüfen, bitte unten die Karten-Nummer und den PIN eintragen."
Total of %d record(s) were successfully deleted,"Insgesamt wurden %d Einträge erfolgreich gelöscht."
Total of %d record(s) were successfully updated,"Insgesamt wurden %d Einträge erfolgreich aktualisiert."
Transaction History,"Transaktionsverlauf"
Your Gift Card Balance,"Ihr Gutschein Guthaben"
Can not create multiple Gift Certificates with the same code.,"Es können keine mehrfachen Gutscheine mit dem gleichem Code erzeugt werden."
Duplicate Gift Certificate Code was found.,"Doppelter Gutschein-Code gefunden."
"To check the balance of a Gift Card, enter the card number below.","Um das Guthaben eines Gutscheins zu überprüfen, bitte unten die Karten-Nummer eintragen."
Please enter a valid card number.,"Bitte geben Sie eine gültige Karten-Nummer an."
The card number entered is invalid. Please retry,"Die angegebene Karten-Nummer ist ungültig. Bitte nochmal versuchen"
