Action,Actions
Add New Category,Ajouter une cat&eacute;gorie
Add New Comment,Ajouter un commentaire
Add New Post,Ajouter un article
Advanced Options,Options avanc&eacute;es
Advanced Post Options,"Options avanc&eacute;es pour l'article"""
Approve,Approuver
Are you sure?,Etes-vous s&ucirc;r de vouloir faire &ccedil;a ?
Auto Approve Comments,Approuver automatiquement les commentaires
Blog,Blog
Blog Comment Manager,Gestion des commentaires du blog
Blog Manager,Gestion du blog
Blog Post Manager,Gestion des articles du blog
Blog Post Options,Options des articles
Blog Settings,Options du blog
Blog Title,Titre du blog
Categories,Cat&eacute;gories
Category,Cat&eacute;gorie
Category does not exist,La cat&eacute;gorie n'existe pas
Category Information,Informations sur la cat&eacute;gorie
Category Manager,Gestionnaire des cat&eacute;gories
Change status,Changer le statut
click here,cliquez ici
Comment,Commentaire
Comment Information,Information sur le commentaire
Comment was approved,Le commentaire a bien &eacute;t&eacute; approuv&eacute;
Comment was successfully deleted,Le commentaire a bien &eacute;t&eacute; supprim&eacute;
Comment was successfully saved,Le commentaire a bien &eacute;t&eacute; sauvegard&eacute;
Comment was unapproved,Le commentaire a &eacute;t&eacute; d&eacute;sapprouv&eacute;
Comments,Commentaires
Comments are not enabled.,Les commentaires sont d&eacute;sactiv&eacute;s.
Content,Contenu
Created,Cr&eacute;&eacute;
Delete,Supprimer
Delete Category,Supprimer la cat&eacute;gorie
Delete Comment,Supprimer le commentaire
Delete Post,Supprimer l'article
Description,Description
Disabled,D&eacute;sactiv&eacute;
Email Address,Adresse e-mail
Edit,Editer
Edit Category '%s',Editer la cat&eacute;gorie '%s'
Edit Comment By '%s',Editer le commentaire post&eacute; par '%s'
Edit Post '%s',Editer l'article '%s'
eg: YYYY-MM-DD HH:MM:SS Leave blank to use current date,exemple: AAAA-MM-DD HH:MM:SS Laissez vide pour utiliser la date actuelle
Email,Adresse e-mail
Enable Blog RSS Feed,Activer le flux RSS pour le Blog
Enable Comments,Activer les commentaires
Enable Footer Link,Activer l'apparition d'un lien &quot;Blog&quot; dans le pied de page
Enable Left Menu,Activer le menu gauche
Enable Right Menu,Activer le menu droit
Enable Top Link,Activer l'apparition d'un lien &quot;Blog&quot; dans le haut de la page
Enabled,Activ&eacute;
Frequency,Fr&eacute;quence
Go to Home Page,Aller &agrave; la page d'Accueil
Google Sitemap,Sitemap Google
Hidden,Cach&eacute;
Home,Accueil
ID,ID
Identifier,Identifiant
Keywords,Mots-cl&eacute;
Leave blank to use current user name,Laissez vide pour utiliser le nom actuel du posteur
Login Required to Comment,Restreindre la possibilit&eacute; de commenter aux utilisateurs identifi&eacute;s
Manage Categories,G&eacute;rer les cat&eacute;gories
Manage Comments,G&eacute;rer les commentaires
Manage Posts,G&eacute;rer les articles
Manage Products,Manage Products
Meta Data,M&eacute;ta donn&eacute;es
Meta Description,M&eacute;ta description
Meta Keywords,M&eacute;tas mots-cl&eacute;
Name,Nom
No posts in this category.,Aucun article dans la cat&eacute;gorie s&eacute;lectionn&eacute;e.
Page Layout,Layout (Gabaris) de la page
Please select categories,Merci de s&eacute;lectionner au moins une cat&eacute;gorie
Please select comment(s),Merci de s&eacute;lectionner au moins un commentaire
Please select post(s),Merci de s&eacute;lectionner au moins un article
Post was successfully deleted,L'article a bien &eacute;t&eacute; supprim&eacute;
Post does not exist,L'article n'existe pas
Post Identifier already exists.,L'identifiant choisi existe d&eacute;j&agrave; pour un autre article
Post Identifier cannot consist only of numbers.,L'identifiant de l'article ne peut pas contenir que des chiffres.
Post Information,Informations de l'article
Post was successfully deleted,L'article a bien &eacute;t&eacute; supprim&eacute;
Post was successfully saved,L'article a bien &eacute;t&eacute; sauvegard&eacute;
Posted By,Post&eacute; par
Poster,Posteur
Posts Per Page,Nombre d'articles par page
Priority,Priorit&eacute;
Recent Posts,Derniers articles
Return to,Envoyer vers
Route to Blog,Chemin d'acc&egrave;s au blog
RSS Feed Image,Image pour le flux RSS
RSS Posts to Show,Nombre d'articles &agrave; afficher dans le flux RSS
Save Category,Sauvegarder la cat&eacute;gorie
Save Comment,Sauvegarder le commentaire
Save Post,Sauvegarder l'article
Show Breadcrumbs,Afficher le fil d'ariane
Sort Order,Ordre de tri
Status,Statut
Store View,Vue Magasin
Submit Comment,Envoyer le commentaire
Summary Character Count,Nombre de caract&egrave;res du r&eacute;sum&eacute;
Title,Titre
to log in,pour vous identifier
Total of %d comment(s) were successfully approved,Au total&#8218; %d commentaire(s) a/ont &eacute;t&eacute; approuv&eacute;(s)
Total of %d comment(s) were successfully unapproved,Au total&#8218; %d commentaire(s) a/ont &eacute;t&eacute; d&eacute;sapprouv&eacute;(s)
Total of %d comments(s) were successfully deleted,Au total&#8218; %d commentaire(s) a/ont &eacute;t&eacute; supprim&eacute;s
Total of %d record(s) were successfully deleted,Au total&#8218; %d enregistrement(s) a/ont &eacute;t&eacute; supprim&eacute;s
Total of %d record(s) were successfully updated,Au total&#8218; %d enregistrement(s) a/ont &eacute;t&eacute; mis &agrave; jour
Unable to find category to save,Impossible de trouver la cat&eacute;gorie
Unable to find comment to save,Impossible de trouver le commentaire &agrave; sauvegarde
Unable to find post to save,Impossible de trouver l'article &agrave; sauvegarder
Unable to submit your comment. Please&#8218; try again later,&quot;Impossible d'envoyer votre commentaire. Merci de bien vouloir essayer &agrave; nouveau&quot;
Unapprove,D&eacute;sapprouver
Updated,Mis &agrave; jour
User,Utilisateur
You must be logged in to comment.,Vous devez &ecirc;tre identifi&eacute; pour pouvoir d&eacute;poser un commentaire.
You must be logged in to post a comment.,Vous devez &ecirc;tre identifi&eacute; pour pouvoir d&eacute;poser un commentaire.
Your comment has been submitted and is awaiting approval.,Votre commentaire a bien &eacute;t&eacute; envoy&eacute; et sera publi&eacute; d&egrave;s sa validation.
Your comment has been submitted.,Votre commentaire a bien &eacute;t&eacute; envoy&eacute;.
