Active,Activé
Action,Evènement
Amount,Montant
Add New Gift Certificate,Ajouter un chèque cadeau
Add Unique Message (optional):,Ajouter un message personnel (Optionnel) :
Administrative Configuration,Option d'administration
Admin Created,Origine
Allow custom message,Joindre un message personnel
Allow recipient's address,Activer la saisie de l'adresse postale du bénéficiaire
Allow recipient's email,Activer la saisie de l'Email du bénéficiaire
Amount is not within the specified range.,Le montant saisi n'est pas dans la plage spécifiée.
Amount range From,Montant minimum du chèque cadeau
Amount range To,Montant maximum du chèque cadeau
Are you sure?,Valider?
Auto generate PIN,Génération automatique du code PIN
Auto generate certificate number,Génération automatique du numéro de chèque cadeau
Balance,Solde courant
Can not create multiple Gift Certificates with the same code.,Impossible de créer plusieurs chèques cadeaux avec le même numéro.
Card Number,N° de chèque
Certificate Code,N° de chèque
Certificate ID,ID
Certificate number pattern,Format du numéro de chèque cadeau
Certificate number(s),Numéro(s) de(s) chèques(s)
Change status,Modifier le statut
Characters Remaining:,Caractères restants :
Check Balance,vérifier le solde
Check Your Gift Card Balance,Chèques cadeaux
Comments,Commentaires
Created At,Date de création
Custom Message,Message personnel
Custom message max length,Nombre de caractères maximum du message
Customer Created,Email (client)
Customer Email,Email (client)
Default status,Statut par défaut
Defaults,Configuration par défaut
Delete,Supprimer
Delete Gift Certificate,Supprimer le chèque cadeau
Duplicate Gift Certificate Code was found.,Ce numéro de chèque est déjà utilisé.
Edit Gift Certificate,Editer le chèque cadeau
Enter Amount,Saisissez un montant
Email delivery options,Options de notification
Expires On,Date d'expiration
Expire On,Date d'expiration
For any update please enter your comments and reasons here,Vous pouvez ajouter un commentaire pour toute mise à jour
For unlimited leave empty both From and To values,Laissez vides les champs minimum et maximum pour un montant libre.
Gift Certificate,Chèque cadeau
Gift Certificate Email Sender,Expéditeur du mail
Gift Certificate Email Template for Purchaser,Gabarit de mail client
Gift Certificate Email Template for Someone Else,Gabarit de mail bénéficiaire
Gift Certificate Information,Général
Gift Certificates,Chèques cadeaux
Gift certificate customer interface on catalog product view,Options client
Gift Certificate Info,Informations de chèque
Gift certificate was successfully deleted,Le chèque cadeau à bien été supprimé
Gift certificate was successfully saved,Le chèque cadeau à bien été sauvegardé
Timestamp,Historique par date
Inactive,Désactivé
Initial amount,Solde de départ
Leave empty for unlimited,Laissez vide pour un champ texte libre.
Manage Gift Certificates,Gérer les chèques cadeaux
New Gift Certificate,Nouveau chèque cadeau
New Gift Certificate to Self,Nouveau chèque cadeau personnel
New Gift Certificate to Someone Else,Nouveau chèque cadeau à offrir
New order status,Nouveau statut de commande
No message,Aucun message
Order ID,N° de commande
Pattern examples:<br/><strong>[A*8] - 8 alpha chars<br/>[N*4] - 4 numerics<br/>[AN*5] - 5 alphanumeric<br/>CERT-[A*4]-[AN*6] - CERT-HQNB-8A1NO3</strong>,Exemples de formats:<br/><strong>[A*8] - 8 lettres<br/>[N*4] - 4 nombres<br/>[AN*5] - 5 caractères alphanumériques<br/>CERT-[A*4]-[AN*6] - CERT-HQNB-8A1NO3</strong>
Enter a known certificate code or a pattern to autogenerate. Pattern examples:<br/><strong>[A*8] - 8 alpha chars<br/>[N*4] - 4 numerics<br/>[AN*5] - 5 alphanumeric<br/>CERT-[A*4]-[AN*6] - CERT-HQNB-8A1NO3</strong>,Saisissez un N° de chèque ou un Format pour une génération automatique.<br />Exemples de formats:<br/><strong>[A*8] - 8 lettres<br/>[N*4] - 4 nombres<br/>[AN*5] - 5 caractères alphanumériques<br/>CERT-[A*4]-[AN*6] - CERT-HQNB-8A1NO3</strong>
Pending,En attente
Physical delivery options,Option d'adresse
Pin,PIN
PIN pattern,Format du code PIN
Please enter a valid card number and PIN.,Merci de saisir un numéro de chèque cadeau et un code PIN valides
Please enter a valid card number.,Merci de saisir un numéro de chèque cadeau valide
Please enter gift certificate information,Merci de saisir les informations du chèque cadeau
Please select gift certificates(s),Merci de sélectionner un(des) chèque(s) cadeau(s)
Postal Address,Adresse postale
Quantity of certificates to create,Nombre de chèques à créer
Recipient's Email Address (optional):,Adresse Email du bénéficiaire (Optionnel) :
Recipient's Name:,Nom du bénéficiaire :
Recipient Info,Informations du bénéficiaire
Recipient's Postal Address (optional):,Adresse postale du bénéficiaire (Optionnel) :
Recipient's email address,Adresse Email du bénéficiaire
Recipient's name,Nom du bénéficiaire
Recipient's postal address,Adresse postale du bénéficiaire
Save Gift Certificate,Sauvegarder le chèque cadeau
Send this gift certificate directly to someone else,Offrir ce chèque cadeau à un(e) ami(e)
Status,Statut actuel
Subscribe for extension update notifications,Notification de mise à jour de l'extension
The card number entered is invalid. Please retry,Le numéro saisi n'est pas valide. Merci d'essayer à nouveau.
The card number or PIN entered are invalid. Please retry,Votre saisie du numéro de chèque ou du code PIN n'est pas valide. Merci d'essayer à nouveau.
There was an error while updating certificate(s) status,Une erreur est intervenue pendant la mise à jour du(des) chèque(s) cadeau(x)
Title,Titre
Total of %d record(s) were successfully deleted,%d enregistrement(s) supprimé(s) avec succès
Total of %d record(s) were successfully updated,%d enregistrement(s) mis à jour(s) avec succès
Transaction History,Historique
Update Comments,Commentaires
Use PIN,Associer un code PIN
Username,Origine
Your Gift Card Balance,Solde de votre chèque cadeau
"To check the balance of a Gift Card, enter the card number below.","Pour vérifier le solde d'un chèque cadeau, merci de saisir son numéro ci-dessous."
"To check the balance of a Gift Card, enter the card number and PIN below.","Pour vérifier le solde d'un chèque cadeau, merci de saisir son numéro et son CODE PIN ci-dessous."
"Please note, that in current release shipping estimates will be calculated by purchaser's shipping address and not recipient's.","N.B. L'estimation de la livraison sera effectuée en prenant compte l'adresse du client et non celle du bénéficiaire."
"Recipient name is required, because email or postal address were provided.","Une adresse ayant été renseignée, le nom du bénéficiaire est requis."
"If empty, only one certificate will be created","If empty, only one certificate will be created"
Order,Order
Create,Create
Update,Update
Email,Email
Amount values configuration,Amount values configuration
Default Expiration Timespan (in days),Default Expiration Timespan (in days)
Send this gift certificate(s),Send this gift certificate(s)
To myself,To myself
Directly to someone else,Directly to someone else
I want to order printed gift certificate(s),I want to order printed gift certificate(s)
Select Amount,Select Amount
Amount,Amount
Yes,Yes
Used only for frontend orders.,Used only for frontend orders.
Send printed copy to myself,Send printed copy to myself
"Please enter recipient's email or postal address","Please enter recipient's email or postal address"
Will be included only when default expiration timespan is set.,Will be included only when default expiration timespan is set.
Expires On,Expires On
Gift certificate(s): %s,Gift certificate(s): %s
Send new GC confirmation,Send new GC confirmation
Never,Never
On order completion,On order completion
On payment completion,On payment completion
"Pattern examples:<br/><strong>50 - 1500</strong> : a range between $50 and $1500<br/><strong>25; 50; 100</strong> : a dropdown with values of $25, $50, $100<br/><strong>50</strong> : a static value of $50<br/><strong>-</strong> : enter "dash" to allow any amount value<br/>For multi-currency setups enter configuration for each currency on new line, like this:<br/><strong>EUR: 25; 50; 100<br/>CAD, USD: 50; 100; 200<br/>*: 100; 200; 500</strong><br/>Whitespaces are optional and will be ignored.","Pattern examples:<br/><strong>50 - 1500</strong> : a range between $50 and $1500<br/><strong>25; 50; 100</strong> : a dropdown with values of $25, $50, $100<br/><strong>50</strong> : a static value of $50<br/><strong>-</strong> : enter "dash" to allow any amount value<br/>For multi-currency setups enter configuration for each currency on new line, like this:<br/><strong>EUR: 25; 50; 100<br/>CAD, USD: 50; 100; 200<br/>*: 100; 200; 500</strong><br/>Whitespaces are optional and will be ignored."
"In current release you can not send emails for certificates that were generated in admin (%d selected)","In current release you can not send emails for certificates that were generated in admin (%d selected)"
