// All translation done by Rodrigo Namikawa

"Accepts random patters same as Certificate Number","商品券番号のパターンを無秩序に生成"
"Action","アクション"
"Active","有効"
"Add New Gift Certificate","商品券を追加する"
"Add Unique Message (optional):","メッセージを追加する(選択可能):"
"Admin Created","サイト管理者作成"
"Administrative Configuration","管理画面の設定"
"Allow custom message","カスタムメッセージを許可する"
"Allow recipient's address","受取人の住所を許可する"
"Allow recipient's email","受取人のメールを許可"
"Amount","金額"
"Amount is not within the specified range"."金額は指定されている範囲にありません。"
"Amount values configuration","残高設定"
"Are you sure?","本当によろしいですか？"
"Auto generate PIN","自動的にPIN番号を生成"
"Auto generate certificate number","商品券番号を自動的に生成"
"Balance","金額(残高)"
"By email only","メールのみ"
"Can not create multiple Gift Certificates with the same code.","同じコードで複数の商品券を作成することはできません。"
"Card Number","カード番号"
"cert","商品券"
"Certificate Code","商品券コード"
"Certificate ID","商品券ID"
"Certificate number pattern","商品券番号のパターン"
"Certificate number(s)","商品券番号"
"Change status","現設定の変更"
"Change status to active on payment completion","支払い完了後に現設定を有効化する"
"Characters Remaining:","残り文字数:"
"Check Balance","残高の確認"
"Check Your Gift Card Balance","商品券の残高を確認する"
"Comments","コメント"
"Create","新規作成"
"Created At","作成日"
"Currency","使用通貨"
"Customer Created","作成されたお客様"
"Customer Email","お客様のメール"
"Custom message","メッセージ"
"Custom Message","メッセージ"
"Custom message max length","メッセージの最大文字数"
"Default Expiration Timespan (in days)","標準の有効時間(日数)"
"Default status","標準設定"
"Defaults","標準"
"Delete","消去"
"Delete Gift Certificate","商品券の消去"
"Directly to someone else","友達にプレゼント"
"Display full totals info in cart","カート内での詳細を表示"
"Duplicate Gift Certificate Code was found.","商品券の複製コードが見つかりました。"
"Edit Gift Certificate","商品券の変更"
"Edit Gift Certificate '%s',"'%s'の商品券の変更"
"Enable custom message preview","カスタムメッセージのプレビュウを許可する"
"Enter Amount","値を入力"
"Enter a known certificate code or a pattern to autogenerate. Pattern examples:<br/><strong>[A*8] - 8 alpha chars<br/>[N*4] - 4 numerics<br/>[AN*5] - 5 alphanumeric<br/>CERT-[A*4]-[AN*6] - CERT-HQNB-8A1NO3</strong>",""
"Email","メール"
"Email delivery options","メールの選択設定" 
"Expire On","有効期限日"
"Expires On","有効期限日"
"For any update please enter your comments and reasons here","コメントを更新する場合、ここにコメントとその理由を記入してください。"
"Gift Certificate","商品券"
"Gift Certificates","商品券"
"Gift certificate(s): %s","商品券: %s"
"Gift Certificate Email Sender","商品券の送り主のメール"
"Gift Certificate Email Template for Purchaser","商品券の購入者のメールテンプレート"
"Gift Certificate Email Template for Someone Else","その他の商品券のメールテンプレート"
"Gift Certificate Info","商品券情報"
"Gift Certificate Information","商品券の詳細"
"Gift Certificates","商品券"
"Gift certificates applied to this order have changed.Unable to proceed, please return to shopping cart to see the changes.","入力された商品券は使用できません。"
"Gift certificate '%s' was applied to your order.","商品券'%s'は使用されました。"
"Gift certificate customer interface on catalog product view","カタログ商品ビュー上でのお客様と商品券のインターフェイス"
"Gift certificate was successfully deleted","商品券は完全に消去されました。"
"Gift certificate was successfully saved","商品券は無事保存されました。"
"If sent to self:","自分自身に送った場合"
"If empty, only one certificate will be created","空白だった場合、一つだけ商品券は作成されます。"
"Inactive","無効"
"In current release you can not send emails for certificates that were generated in admin (%d selected)","現リリースではadminで作成された商品券をメールで送ることはできません。 (選択された%d )"
"Initial amount","金額"
"invoice","インボイス"
"I want to order printed gift certificate(s)","プリントされた商品券の購入を希望する"
"Leave empty for unlimited","空白で無制限となります"
"Manage Gift Certificates","商品券の管理"
"Name","名前"
"Never","許可しない"
"New Gift Certificate","新規商品券"
"New Gift Certificate to Self","サイト管理者への新規商品券"
"New Gift Certificate to Someone Else","その他への新規商品券"
"New order status","新規の注文状況"
"No message","メッセージはありません。"
"On order completion","購入完了後"
"On payment completion","支払い完了後"
"Order","購入する"
"Order ID","オーダーID"
"Pattern example:","パターン例："
"Pattern examples:<br/><strong>[A*8] - 8 alpha chars<br/>[N*4] - 4 numerics<br/>[AN*5] - 5 alphanumeric<br/>CERT-[A*4]-[AN*6] - CERT-HQNB-8A1NO3</strong>","パターン例:<br/><strong>[A*8] - 8 alpha chars<br/>[N*4] - 4 numerics<br/>[AN*5] - 5 alphanumeric<br/>CERT-[A*4]-[AN*6] - CERT-HQNB-8A1NO3</strong>"
